SSID_MAC주소,지하철역명,지하철호선ID
00:40:5a:bb:36:e2,문정,1008
00:07:89:14:6c:5d,문정,1008
00:07:89:14:6c:48,문정,1008
00:40:5a:bb:36:4a,문정,1008
00:07:89:14:6d:64,문정,1008
12:16:1f:03:7c:1e,문정,1008
02:07:89:14:6c:84,문정,1008
00:40:5a:bb:36:e3,문정,1008
02:07:89:14:6c:5d,문정,1008
00:40:5a:bb:36:4b,문정,1008
00:16:1f:03:7c:1e,문정,1008
00:40:5a:ba:ea:a2,문정,1008
00:07:89:14:6c:5c,문정,1008
02:07:89:14:6c:48,문정,1008
02:07:89:14:6c:5c,문정,1008
00:07:89:14:6c:70,문정,1008
00:07:89:0f:d4:9c,선릉,1075
00:40:5a:bf:8a:9b,선릉,1075
10:e3:c7:04:0e:b0,선릉,1075
02:07:89:0f:d4:8c,선릉,1075
02:07:89:0f:d4:b1,선릉,1075
02:07:89:0f:d4:b0,선릉,1075
00:40:5a:bf:7a:73,선릉,1075
00:07:89:0f:d4:8c,선릉,1075
00:07:89:0f:d4:b0,선릉,1075
00:07:89:0f:d6:2d,선릉,1075
02:07:89:0f:d4:8d,선릉,1075
00:40:5a:c0:3e:2b,선릉,1075
02:07:89:0f:d4:9d,선릉,1075
02:07:89:0f:d6:2d,선릉,1075
00:16:1f:03:81:27,청계산입구,1077
12:16:1f:03:5f:6a,공릉,1007
00:40:5a:bf:a7:eb,공릉,1007
00:40:5a:bf:b4:a3,공릉,1007
00:25:a6:a3:80:8e,하계,1007
12:16:1f:03:75:2b,하계,1007
12:16:1f:03:75:2a,하계,1007
00:40:5a:bf:a9:52,하계,1007
12:16:1f:03:6f:8f,하계,1007
12:16:1f:03:6f:8e,하계,1007
00:16:1f:03:75:2b,하계,1007
00:16:1f:03:75:2a,하계,1007
00:40:5a:bf:a9:53,하계,1007
00:16:1f:03:6f:8f,하계,1007
00:25:a6:a3:80:8d,하계,1007
00:30:0d:81:03:a0,선릉,1075
02:07:89:0f:d4:99,선릉,1075
06:30:0d:74:c7:c1,선릉,1075
12:e3:c7:04:0e:b0,선릉,1075
00:07:89:0f:d4:b1,선릉,1075
00:30:0d:74:c7:c0,선릉,1075
00:40:5a:bf:8a:9a,선릉,1075
12:e3:c7:04:0e:af,선릉,1075
00:07:89:0f:d4:9d,선릉,1075
00:40:5a:bf:7a:72,선릉,1075
00:40:5a:c0:3e:2a,선릉,1075
00:40:5a:bf:98:f2,선릉,1075
12:16:1f:03:80:86,가양,1009
12:16:1f:03:6c:e3,가양,1009
12:16:1f:03:81:e2,가양,1009
00:40:5a:b8:19:fa,가양,1009
12:16:1f:03:81:e3,가양,1009
12:16:1f:03:81:63,가양,1009
12:16:1f:03:7f:2b,가양,1009
00:25:a6:a4:f8:af,가양,1009
12:16:1f:03:81:62,가양,1009
00:40:5a:b8:3b:83,가양,1009
00:16:1f:03:60:2b,가양,1009
00:16:1f:03:80:86,가양,1009
00:16:1f:03:6c:e2,가양,1009
00:16:1f:03:60:2a,가양,1009
00:40:5a:af:2b:92,고속터미널,1009
00:30:0d:84:39:00,고속터미널,1009
06:30:0d:80:23:61,수서,1003
00:40:5a:bb:4d:33,수서,1003
00:30:0d:7f:a9:30,수서,1003
00:30:0d:7f:a9:20,수서,1003
02:07:89:0f:d6:a5,수서,1003
00:07:89:0f:d6:a1,수서,1003
02:07:89:0f:d6:94,수서,1003
00:07:89:0f:d6:b9,수서,1003
00:07:89:0f:d6:b8,수서,1003
00:40:5a:bf:7c:1a,수서,1003
06:30:0d:80:50:c1,수서,1003
00:40:5a:bf:7c:1b,수서,1003
00:30:0d:80:23:70,수서,1003
00:30:0d:80:50:c0,수서,1003
00:30:0d:80:23:60,수서,1003
02:07:89:0f:d6:9c,수서,1003
00:40:5a:bb:95:4b,수서,1003
00:07:89:0f:d6:9c,수서,1003
06:30:0d:80:10:41,수서,1003
00:30:0d:80:10:40,수서,1003
00:40:5a:bb:95:4a,수서,1003
02:07:89:0f:d6:a4,수서,1003
02:07:89:0f:d6:b9,수서,1003
02:07:89:0f:d6:b8,수서,1003
00:17:b2:01:ad:30,옥수,1003
02:07:89:0f:d6:8c,옥수,1003
00:40:5a:c9:41:22,산성,1008
00:07:89:14:6d:75,산성,1008
00:07:89:14:6d:74,산성,1008
00:07:89:14:6c:6d,산성,1008
00:40:5a:c9:35:9a,산성,1008
00:40:5a:c9:29:8a,산성,1008
00:40:5a:c9:41:23,산성,1008
02:07:89:14:6d:75,산성,1008
02:07:89:14:6d:74,산성,1008
02:07:89:14:6c:6d,산성,1008
00:40:5a:c9:35:9b,산성,1008
00:40:5a:c9:29:8b,산성,1008
00:07:89:14:6c:6c,산성,1008
02:07:89:14:6c:6c,산성,1008
06:17:b2:04:7d:f2,산성,1008
04:17:b2:04:7d:f0,산성,1008
04:17:b2:04:68:b8,산성,1008
